[09:57:19] [gimbal_controller] [INFO] [1754099839.258521563] [gimbal_controller]: 云台控制器节点已启动
[09:57:19] [gimbal_controller] [INFO] [1754099839.259266759] [gimbal_controller]: 图像中心设置为: (640, 540)
[09:57:19] [gimbal_controller] [INFO] [1754099839.259749750] [gimbal_controller]: 激光模式: continuous (auto_off=瞄准后1秒关闭, continuous=持续开启)
[09:57:19] [gimbal_controller] [INFO] [1754099839.260193951] [gimbal_controller]: 激光安全开关: GPIO5 (低电平:禁用激光, 高电平:允许激光)
[09:57:19] [gimbal_controller] [INFO] [1754099839.260594694] [gimbal_controller]: 订阅话题: /target_data
[09:57:19] [gimbal_controller] [INFO] [1754099839.260986396] [gimbal_controller]: 发布话题: /uart1_sender_topic (30Hz)
[09:57:19] [gimbal_controller] [INFO] [1754099839.261389764] [gimbal_controller]: 控制频率: 30Hz
[09:57:19] [gimbal_controller] [INFO] [1754099839.263979720] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.291902534] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.336234525] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.369726910] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.406316743] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.445832233] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.482857808] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.523406365] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.550730105] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.600035512] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.629163764] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.673294217] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.706263070] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.735979020] [gimbal_controller]: 激光安全开关已切换到高电平，允许激光开启
[09:57:19] [gimbal_controller] [INFO] [1754099839.738471560] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.778281046] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.818407276] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.856338752] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.890028009] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.921507929] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:19] [gimbal_controller] [INFO] [1754099839.963179383] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099839.997552295] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.026166930] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.063678997] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.107896948] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.151623159] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.190932153] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.238343217] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.268340037] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.299099844] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.332358317] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.366793061] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.405783560] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.465801992] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.518887625] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.566041735] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.605915095] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.647213513] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.699372538] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.736373905] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.775214490] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.818149131] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.849264473] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.890763555] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.920458214] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:20] [gimbal_controller] [INFO] [1754099840.961170392] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.013656661] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.052649202] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.090238559] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.126264026] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.167597152] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.206335656] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.243803099] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.281878655] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.332764868] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.361796288] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.404445100] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.440648773] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.468709251] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.521157020] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.557224195] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.588724823] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.617042838] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
[09:57:21] [gimbal_controller] [INFO] [1754099841.670128763] [gimbal_controller]: 目标: (542, 492) | 误差: (-98,-48) | 成功计数:0 | 激光状态:False
