[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.395203751] [gimbal_controller]: 云台控制器节点已启动
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.396554444] [gimbal_controller]: 图像中心设置为: (320, 240)
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.396989606] [gimbal_controller]: 订阅话题: /target_data
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.397386559] [gimbal_controller]: 发布话题: /uart1_sender_topic
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.422200106] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.432874400] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.510375171] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.520982965] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.586039339] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.596919255] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.665048885] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.676429587] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.746007617] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.757916521] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.834285389] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.845398344] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.913706180] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:09] [gimbal_controller] [INFO] [1753945089.924999966] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.000411262] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.011598299] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.080145883] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.090455597] [gimbal_controller]: 目标: (242, 228) | 中心: (320, 240) | 误差: (-78, -12) | 指令: @0,-78,-12/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.160358539] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.171087957] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.238463346] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.249360178] [gimbal_controller]: 目标: (242, 228) | 中心: (320, 240) | 误差: (-78, -12) | 指令: @0,-78,-12/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.324634976] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.335593641] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.400802846] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.412592751] [gimbal_controller]: 目标: (242, 228) | 中心: (320, 240) | 误差: (-78, -12) | 指令: @0,-78,-12/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.477001049] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.487996756] [gimbal_controller]: 目标: (242, 228) | 中心: (320, 240) | 误差: (-78, -12) | 指令: @0,-78,-12/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.558755730] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.569831352] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.634828810] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.645776975] [gimbal_controller]: 目标: (242, 228) | 中心: (320, 240) | 误差: (-78, -12) | 指令: @0,-78,-12/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.706135820] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.717024777] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.785412821] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.798164632] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.865774226] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.874835038] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.938340638] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:10] [gimbal_controller] [INFO] [1753945090.950495706] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.021222014] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.032398843] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.104046807] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.115120388] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.185659448] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.196602655] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.261267908] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.272494029] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.339176134] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.349838177] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.425098683] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.436606842] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.511295687] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.522113479] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.601006151] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.611868568] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.684665102] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.695670141] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.759898191] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.770784815] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.839685895] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.851224678] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
[2025-07-31 14:58:11] [gimbal_controller] [INFO] [1753945091.913155588] [gimbal_controller]: 目标: (242, 227) | 中心: (320, 240) | 误差: (-78, -13) | 指令: @0,-78,-13/r/n
