[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.050098541] [gimbal_controller]: 云台控制器节点已启动
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.050614200] [gimbal_controller]: 图像中心设置为: (320, 240)
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.051105360] [gimbal_controller]: 订阅话题: /target_data
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.051866307] [gimbal_controller]: 发布话题: /uart1_sender_topic
[2025-08-01 05:30:59] [gimbal_controller] [INFO] [1753997459.913509647] [gimbal_controller]: 目标: (143, 326) | 中心: (320, 240) | 误差: (-177, +86) | 指令: @0,-177,86
[2025-08-01 05:30:59] [gimbal_controller] [INFO] [1753997459.940829954] [gimbal_controller]: 目标: (143, 324) | 中心: (320, 240) | 误差: (-177, +84) | 指令: @0,-177,84
[2025-08-01 05:30:59] [gimbal_controller] [INFO] [1753997459.976884382] [gimbal_controller]: 目标: (141, 322) | 中心: (320, 240) | 误差: (-179, +82) | 指令: @0,-179,82
[2025-08-01 05:31:00] [gimbal_controller] [INFO] [1753997460.010497597] [gimbal_controller]: 目标: (139, 320) | 中心: (320, 240) | 误差: (-181, +80) | 指令: @0,-181,80
[2025-08-01 05:31:00] [gimbal_controller] [INFO] [1753997460.052362232] [gimbal_controller]: 目标: (136, 319) | 中心: (320, 240) | 误差: (-184, +79) | 指令: @0,-184,79
[2025-08-01 05:31:00] [gimbal_controller] [INFO] [1753997460.089611310] [gimbal_controller]: 目标: (133, 320) | 中心: (320, 240) | 误差: (-187, +80) | 指令: @0,-187,80
[2025-08-01 05:31:01] [gimbal_controller] [INFO] [1753997461.930671185] [gimbal_controller]: 目标: (295, 318) | 中心: (320, 240) | 误差: (-25, +78) | 指令: @0,-25,78
[2025-08-01 05:31:01] [gimbal_controller] [INFO] [1753997461.983826363] [gimbal_controller]: 目标: (310, 317) | 中心: (320, 240) | 误差: (-10, +77) | 指令: @0,-10,77
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.036882667] [gimbal_controller]: 目标: (317, 316) | 中心: (320, 240) | 误差: (-3, +76) | 指令: @0,-3,76
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.093911413] [gimbal_controller]: 目标: (329, 315) | 中心: (320, 240) | 误差: (+9, +75) | 指令: @0,9,75
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.133217585] [gimbal_controller]: 目标: (334, 315) | 中心: (320, 240) | 误差: (+14, +75) | 指令: @0,14,75
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.182498320] [gimbal_controller]: 目标: (344, 313) | 中心: (320, 240) | 误差: (+24, +73) | 指令: @0,24,73
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.235050340] [gimbal_controller]: 目标: (350, 313) | 中心: (320, 240) | 误差: (+30, +73) | 指令: @0,30,73
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.270714524] [gimbal_controller]: 目标: (359, 313) | 中心: (320, 240) | 误差: (+39, +73) | 指令: @0,39,73
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.305362557] [gimbal_controller]: 目标: (364, 312) | 中心: (320, 240) | 误差: (+44, +72) | 指令: @0,44,72
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.353007065] [gimbal_controller]: 目标: (369, 312) | 中心: (320, 240) | 误差: (+49, +72) | 指令: @0,49,72
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.401600643] [gimbal_controller]: 目标: (378, 310) | 中心: (320, 240) | 误差: (+58, +70) | 指令: @0,58,70
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.464483345] [gimbal_controller]: 目标: (384, 296) | 中心: (320, 240) | 误差: (+64, +56) | 指令: @0,64,56
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.507754667] [gimbal_controller]: 目标: (390, 307) | 中心: (320, 240) | 误差: (+70, +67) | 指令: @0,70,67
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.543023066] [gimbal_controller]: 目标: (395, 294) | 中心: (320, 240) | 误差: (+75, +54) | 指令: @0,75,54
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.584443791] [gimbal_controller]: 目标: (398, 294) | 中心: (320, 240) | 误差: (+78, +54) | 指令: @0,78,54
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.636165740] [gimbal_controller]: 目标: (405, 304) | 中心: (320, 240) | 误差: (+85, +64) | 指令: @0,85,64
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.695189748] [gimbal_controller]: 目标: (408, 292) | 中心: (320, 240) | 误差: (+88, +52) | 指令: @0,88,52
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.731901584] [gimbal_controller]: 目标: (415, 301) | 中心: (320, 240) | 误差: (+95, +61) | 指令: @0,95,61
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.772272032] [gimbal_controller]: 目标: (419, 299) | 中心: (320, 240) | 误差: (+99, +59) | 指令: @0,99,59
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.842766539] [gimbal_controller]: 目标: (422, 289) | 中心: (320, 240) | 误差: (+102, +49) | 指令: @0,102,49
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.886387856] [gimbal_controller]: 目标: (427, 288) | 中心: (320, 240) | 误差: (+107, +48) | 指令: @0,107,48
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.926915219] [gimbal_controller]: 目标: (427, 289) | 中心: (320, 240) | 误差: (+107, +49) | 指令: @0,107,49
[2025-08-01 05:31:02] [gimbal_controller] [INFO] [1753997462.980684346] [gimbal_controller]: 目标: (426, 289) | 中心: (320, 240) | 误差: (+106, +49) | 指令: @0,106,49
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.020587552] [gimbal_controller]: 目标: (420, 302) | 中心: (320, 240) | 误差: (+100, +62) | 指令: @0,100,62
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.060836669] [gimbal_controller]: 目标: (415, 303) | 中心: (320, 240) | 误差: (+95, +63) | 指令: @0,95,63
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.112201914] [gimbal_controller]: 目标: (402, 304) | 中心: (320, 240) | 误差: (+82, +64) | 指令: @0,82,64
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.151823957] [gimbal_controller]: 目标: (394, 305) | 中心: (320, 240) | 误差: (+74, +65) | 指令: @0,74,65
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.196469885] [gimbal_controller]: 目标: (386, 307) | 中心: (320, 240) | 误差: (+66, +67) | 指令: @0,66,67
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.247044142] [gimbal_controller]: 目标: (367, 308) | 中心: (320, 240) | 误差: (+47, +68) | 指令: @0,47,68
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.306089442] [gimbal_controller]: 目标: (358, 309) | 中心: (320, 240) | 误差: (+38, +69) | 指令: @0,38,69
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.343989510] [gimbal_controller]: 目标: (337, 308) | 中心: (320, 240) | 误差: (+17, +68) | 指令: @0,17,68
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.377834888] [gimbal_controller]: 目标: (327, 308) | 中心: (320, 240) | 误差: (+7, +68) | 指令: @0,7,68
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.426583047] [gimbal_controller]: 目标: (317, 308) | 中心: (320, 240) | 误差: (-3, +68) | 指令: @0,-3,68
[2025-08-01 05:31:03] [gimbal_controller] [INFO] [1753997463.476321108] [gimbal_controller]: 目标: (297, 306) | 中心: (320, 240) | 误差: (-23, +66) | 指令: @0,-23,66
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.094908730] [gimbal_controller]: 目标: (172, 283) | 中心: (320, 240) | 误差: (-148, +43) | 指令: @0,-148,43
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.138871585] [gimbal_controller]: 目标: (168, 282) | 中心: (320, 240) | 误差: (-152, +42) | 指令: @0,-152,42
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.181821496] [gimbal_controller]: 目标: (165, 283) | 中心: (320, 240) | 误差: (-155, +43) | 指令: @0,-155,43
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.218388958] [gimbal_controller]: 目标: (166, 285) | 中心: (320, 240) | 误差: (-154, +45) | 指令: @0,-154,45
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.264457323] [gimbal_controller]: 目标: (168, 287) | 中心: (320, 240) | 误差: (-152, +47) | 指令: @0,-152,47
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.842401501] [gimbal_controller]: 目标: (300, 316) | 中心: (320, 240) | 误差: (-20, +76) | 指令: @0,-20,76
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.889272813] [gimbal_controller]: 目标: (306, 317) | 中心: (320, 240) | 误差: (-14, +77) | 指令: @0,-14,77
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.935376761] [gimbal_controller]: 目标: (313, 317) | 中心: (320, 240) | 误差: (-7, +77) | 指令: @0,-7,77
[2025-08-01 05:31:04] [gimbal_controller] [INFO] [1753997464.974285398] [gimbal_controller]: 目标: (319, 318) | 中心: (320, 240) | 误差: (-1, +78) | 指令: @0,-1,78
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.017499554] [gimbal_controller]: 目标: (325, 319) | 中心: (320, 240) | 误差: (+5, +79) | 指令: @0,5,79
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.066125799] [gimbal_controller]: 目标: (331, 319) | 中心: (320, 240) | 误差: (+11, +79) | 指令: @0,11,79
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.119313059] [gimbal_controller]: 目标: (348, 320) | 中心: (320, 240) | 误差: (+28, +80) | 指令: @0,28,80
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.157650913] [gimbal_controller]: 目标: (352, 320) | 中心: (320, 240) | 误差: (+32, +80) | 指令: @0,32,80
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.196449301] [gimbal_controller]: 目标: (358, 321) | 中心: (320, 240) | 误差: (+38, +81) | 指令: @0,38,81
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.232468439] [gimbal_controller]: 目标: (364, 321) | 中心: (320, 240) | 误差: (+44, +81) | 指令: @0,44,81
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.285770906] [gimbal_controller]: 目标: (369, 321) | 中心: (320, 240) | 误差: (+49, +81) | 指令: @0,49,81
