[2025-08-01 08:07:00] [gimbal_controller] [INFO] [1754006820.965730755] [gimbal_controller]: 目标: (378, 263) | 中心: (320, 240) | 误差: (+58, +23) | 指令: @0,58,23
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.167148177] [gimbal_controller]: 目标: (339, 252) | 中心: (320, 240) | 误差: (+19, +12) | 指令: @0,19,12
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.205327903] [gimbal_controller]: 目标: (333, 243) | 中心: (320, 240) | 误差: (+13, +3) | 指令: @0,13,3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.244469822] [gimbal_controller]: 目标: (333, 236) | 中心: (320, 240) | 误差: (+13, -4) | 指令: @0,13,-4
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.274206516] [gimbal_controller]: 目标: (332, 237) | 中心: (320, 240) | 误差: (+12, -3) | 指令: @0,12,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.326494518] [gimbal_controller]: 目标: (332, 236) | 中心: (320, 240) | 误差: (+12, -4) | 指令: @0,12,-4
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.365714894] [gimbal_controller]: 目标: (331, 237) | 中心: (320, 240) | 误差: (+11, -3) | 指令: @0,11,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.428714767] [gimbal_controller]: 目标: (331, 236) | 中心: (320, 240) | 误差: (+11, -4) | 指令: @0,11,-4
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.464958149] [gimbal_controller]: 目标: (331, 237) | 中心: (320, 240) | 误差: (+11, -3) | 指令: @0,11,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.528291684] [gimbal_controller]: 目标: (331, 237) | 中心: (320, 240) | 误差: (+11, -3) | 指令: @0,11,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.575295936] [gimbal_controller]: 目标: (331, 237) | 中心: (320, 240) | 误差: (+11, -3) | 指令: @0,11,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.633150599] [gimbal_controller]: 目标: (331, 237) | 中心: (320, 240) | 误差: (+11, -3) | 指令: @0,11,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.677444145] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.729939227] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.779770851] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.846003214] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.933859109] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:01] [gimbal_controller] [INFO] [1754006821.982103800] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.024669837] [gimbal_controller]: 目标: (330, 236) | 中心: (320, 240) | 误差: (+10, -4) | 指令: @0,10,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.074152666] [gimbal_controller]: 目标: (330, 236) | 中心: (320, 240) | 误差: (+10, -4) | 指令: @0,10,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.134917864] [gimbal_controller]: 目标: (330, 236) | 中心: (320, 240) | 误差: (+10, -4) | 指令: @0,10,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.176534563] [gimbal_controller]: 目标: (330, 236) | 中心: (320, 240) | 误差: (+10, -4) | 指令: @0,10,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.247272568] [gimbal_controller]: 目标: (330, 236) | 中心: (320, 240) | 误差: (+10, -4) | 指令: @0,10,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.306691746] [gimbal_controller]: 目标: (330, 236) | 中心: (320, 240) | 误差: (+10, -4) | 指令: @0,10,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.385325047] [gimbal_controller]: 目标: (327, 237) | 中心: (320, 240) | 误差: (+7, -3) | 指令: @0,7,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.437165382] [gimbal_controller]: 目标: (330, 236) | 中心: (320, 240) | 误差: (+10, -4) | 指令: @0,10,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.500321628] [gimbal_controller]: 目标: (330, 236) | 中心: (320, 240) | 误差: (+10, -4) | 指令: @0,10,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.540347601] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.602647235] [gimbal_controller]: 目标: (327, 236) | 中心: (320, 240) | 误差: (+7, -4) | 指令: @0,7,-4
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.650829958] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.723533308] [gimbal_controller]: 目标: (330, 237) | 中心: (320, 240) | 误差: (+10, -3) | 指令: @0,10,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.756822926] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.815096871] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.862812769] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.913340582] [gimbal_controller]: 目标: (327, 237) | 中心: (320, 240) | 误差: (+7, -3) | 指令: @0,7,-3
[2025-08-01 08:07:02] [gimbal_controller] [INFO] [1754006822.971917147] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.024465804] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.096606580] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.143251619] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.208896660] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.298712957] [gimbal_controller]: 目标: (327, 236) | 中心: (320, 240) | 误差: (+7, -4) | 指令: @0,7,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.349336602] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.404667759] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.454191837] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.517962782] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.571555840] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.674445230] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.723316568] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.817675713] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.886692994] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.951902417] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.069071881] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.146499742] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.203669079] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.290586921] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.331505672] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.374804887] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.423142067] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.481631133] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.537511615] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.603562733] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.656984377] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.709299871] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.779846213] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.807019507] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.850481177] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
