[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.662268040] [gimbal_controller]: 云台控制器节点已启动
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.662853406] [gimbal_controller]: 图像中心设置为: (320, 240)
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.663301983] [gimbal_controller]: 订阅话题: /target_data
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.663723143] [gimbal_controller]: 发布话题: /uart1_sender_topic
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.686903873] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.720318280] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.826244749] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.896896797] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.974293325] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.057076397] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.103416857] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.201580194] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.298817045] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.335746149] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.380415301] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.429572052] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.484121054] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.539722415] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.605814074] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.659905666] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.706831534] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.767978768] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.804026761] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.847170811] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.952736119] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.039135510] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.107182931] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.195837455] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.243546102] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.315981290] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.387990067] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.469639447] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.528948377] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.610675923] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.667664387] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.763914087] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.848117261] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.899369313] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006825.975300364] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.071630271] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.129537763] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.163361248] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.271273936] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.319873112] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.406628081] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
