[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.632037619] [gimbal_controller]: 云台控制器节点已启动
[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.633890545] [gimbal_controller]: 图像中心设置为: (400, 300)
[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.634772238] [gimbal_controller]: 订阅话题: /target_data
[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.635413893] [gimbal_controller]: 发布话题: /uart1_sender_topic (30Hz)
[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.636984782] [gimbal_controller]: 控制频率: 30Hz
[2025-08-01 16:06:36] [gimbal_controller] [INFO] [1754035596.724569030] [gimbal_controller]: 目标: (407, 305) | 误差: (+7,+5) | 成功计数:0
[2025-08-01 16:06:36] [gimbal_controller] [INFO] [1754035596.944021311] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:1
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035596.997044799] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:2
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.029770976] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:3
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.059616120] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:4
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.093547150] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:5
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.118309800] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:6
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.146683220] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:7
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.190761448] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:8
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.227404931] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:9
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.265735676] [gimbal_controller]: 连续命中阈值满足，发送打靶成功信号
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.268753498] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:0
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.279885928] [gimbal_controller]: 服务端响应: success=True, message='打靶成功，激光已点亮'
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.288795022] [gimbal_controller]: 目标: (404, 303) | 误差: (+4,+3) | 成功计数:1
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.371481365] [gimbal_controller]: 目标: (405, 300) | 误差: (+5,+0) | 成功计数:0
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.433590694] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:1
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.514755439] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:2
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.548440308] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:3
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.607903099] [gimbal_controller]: 目标: (404, 303) | 误差: (+4,+3) | 成功计数:4
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.637161129] [gimbal_controller]: 目标: (404, 300) | 误差: (+4,+0) | 成功计数:5
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.678360949] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:6
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.706200336] [gimbal_controller]: 目标: (405, 300) | 误差: (+5,+0) | 成功计数:0
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.733885726] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:1
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.780865403] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:2
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.811192664] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:3
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.837186125] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:4
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.870854952] [gimbal_controller]: 目标: (404, 300) | 误差: (+4,+0) | 成功计数:5
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.900543765] [gimbal_controller]: 目标: (404, 300) | 误差: (+4,+0) | 成功计数:6
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.925845114] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:7
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.963752366] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:8
[2025-08-01 16:06:37] [gimbal_controller] [INFO] [1754035597.995657516] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:9
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.031150103] [gimbal_controller]: 连续命中阈值满足，发送打靶成功信号
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.033439063] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:0
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.038161646] [gimbal_controller]: 服务端响应: success=True, message='打靶成功，激光已点亮'
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.066120032] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:1
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.095642015] [gimbal_controller]: 目标: (404, 303) | 误差: (+4,+3) | 成功计数:2
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.118250452] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:3
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.149731526] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:4
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.182408412] [gimbal_controller]: 目标: (404, 303) | 误差: (+4,+3) | 成功计数:5
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.213427202] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:6
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.247854640] [gimbal_controller]: 目标: (404, 302) | 误差: (+4,+2) | 成功计数:7
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.279322881] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:8
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.305225344] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:9
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.337476112] [gimbal_controller]: 连续命中阈值满足，发送打靶成功信号
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.340120316] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:0
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.344084288] [gimbal_controller]: 服务端响应: success=True, message='打靶成功，激光已点亮'
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.372825493] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:1
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.400472092] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:2
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.434342749] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:3
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.471135271] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:4
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.507540758] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:5
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.548321752] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:6
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.582804315] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:7
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.612250466] [gimbal_controller]: 目标: (403, 300) | 误差: (+3,+0) | 成功计数:8
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.639238202] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:9
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.668222361] [gimbal_controller]: 连续命中阈值满足，发送打靶成功信号
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.670388239] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:0
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.674523417] [gimbal_controller]: 服务端响应: success=True, message='打靶成功，激光已点亮'
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.702538385] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:1
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.731199966] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:2
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.758570361] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:3
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.789186659] [gimbal_controller]: 目标: (404, 298) | 误差: (+4,-2) | 成功计数:4
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.822301329] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:5
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.858910396] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:6
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.889842270] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:7
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.928512510] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:8
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.969639706] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:9
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.992571596] [gimbal_controller]: 连续命中阈值满足，发送打靶成功信号
[2025-08-01 16:06:38] [gimbal_controller] [INFO] [1754035598.996427070] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:0
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.007404920] [gimbal_controller]: 服务端响应: success=True, message='打靶成功，激光已点亮'
