[2025-08-01 07:43:56] [target_detect] [INFO] [1754005436.414607494] [target_detection_node]: Camera resolution set to: 1920x1080
[2025-08-01 07:43:56] [target_detect] [INFO] [1754005436.417977067] [target_detection_node]: Target detection node started
[2025-08-01 07:43:56] [target_detect] [INFO] [1754005436.418434101] [target_detection_node]: Laser detection status: Disabled
[2025-08-01 07:43:56] [target_detect] [INFO] [1754005436.792077059] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:56] [target_detect] [INFO] [1754005436.796052413] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.131294887] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.137391209] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.162578857] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.165486729] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.192152812] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.196362955] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.230435506] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.234164406] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.258367403] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.262603212] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.281653998] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.285577145] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.312931260] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.315529678] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.337345420] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.340095502] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.017
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.366351801] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.369573209] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.017
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.391703363] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.396353624] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.017
